# Acquisizione Analog Discovery 2
# Timestamp 2024-10-08 10:13:30
# time	ch1	ch2
-4.095999999999999815e-03	8.467972159764650120e-02	1.046423004475731666e+00
-4.094999999999999682e-03	8.163196639086930939e-02	9.905303991053769908e-01
-4.093999999999999549e-03	8.095468745602993343e-02	9.756257043399492179e-01
-4.092999999999999416e-03	7.655237437957398972e-02	9.458163148090934502e-01
-4.092000000000000151e-03	7.384325864021651364e-02	9.122807515868808226e-01
-4.091000000000000018e-03	6.944094556376056993e-02	8.824713620560251659e-01
-4.089999999999999886e-03	6.537727195472431418e-02	8.340311040683846544e-01
-4.088999999999999753e-03	6.436135355246525025e-02	8.116740619202428286e-01
-4.087999999999999620e-03	6.199087728052744134e-02	7.930431934634580848e-01
-4.086999999999999487e-03	5.928176154116994445e-02	7.222458933276757476e-01
-4.086000000000000222e-03	5.454080899729431969e-02	6.775318090313922070e-01
-4.085000000000000089e-03	5.115441432309744685e-02	6.626271142659643232e-01
-4.083999999999999957e-03	4.946121698599900696e-02	6.216392036610377536e-01
-4.082999999999999824e-03	4.641346177922182209e-02	5.918298141301820969e-01
-4.081999999999999691e-03	4.065659083308714034e-02	5.471157298338985564e-01
-4.080999999999999558e-03	4.065659083308714034e-02	5.210325139943998707e-01
-4.079999999999999426e-03	3.896339349598870044e-02	4.837707770808302166e-01
-4.079000000000000160e-03	3.320652254985401175e-02	4.539613875499745044e-01
-4.078000000000000028e-03	3.151332521275557880e-02	4.129734769450479348e-01
-4.076999999999999895e-03	3.083604627791620284e-02	3.868902611055491936e-01
-4.075999999999999762e-03	2.575645426662089357e-02	3.459023505006226240e-01
-4.074999999999999629e-03	1.661318864628933203e-02	3.049144398956960544e-01
-4.073999999999999497e-03	1.830638598338777193e-02	2.825573977475542842e-01
-4.073000000000000231e-03	1.559727024403027157e-02	2.490218345253416010e-01
-4.072000000000000099e-03	1.119495716757433479e-02	2.154862713031289456e-01
-4.070999999999999966e-03	4.760807286600275343e-03	1.894030554636302321e-01
-4.069999999999999833e-03	6.454004623698711765e-03	1.335104500932758065e-01
-4.068999999999999700e-03	3.744888884341213142e-03	8.507019210563529499e-02
-4.067999999999999568e-03	-5.398376735990346661e-03	5.153462888342263265e-02
-4.066999999999999435e-03	-5.398376735990346661e-03	3.290376042663782641e-02
-4.066000000000000170e-03	-5.398376735990346661e-03	-4.357976486931795616e-03
-4.065000000000000037e-03	-9.462050345026595463e-03	-4.161971340050141244e-02
-4.063999999999999904e-03	-1.521892129116128069e-02	-6.397675554864318270e-02
-4.062999999999999771e-03	-1.725075809567940335e-02	-1.086908398449267232e-01
-4.061999999999999639e-03	-1.623483969342034289e-02	-1.534049241412102638e-01
-4.060999999999999506e-03	-2.368490797665346453e-02	-1.683096189066381199e-01
-4.060000000000000241e-03	-3.113497625988658618e-02	-2.018451821288507753e-01
-4.059000000000000108e-03	-3.282817359698502607e-02	-2.465592664251343158e-01
-4.057999999999999975e-03	-3.181225519472596214e-02	-2.726424822646330570e-01
-4.056999999999999842e-03	-3.486001040150314700e-02	-3.099042191782026556e-01
-4.055999999999999710e-03	-4.061688134763783570e-02	-3.434397824004153388e-01
-4.054999999999999577e-03	-3.993960241279845974e-02	-3.881538666966988793e-01
-4.053999999999999444e-03	-4.400327602183470854e-02	-4.179632562275545360e-01
-4.053000000000000179e-03	-4.874422856571033330e-02	-4.365941246843393908e-01
-4.052000000000000046e-03	-5.551701791410407899e-02	-4.962129037460507597e-01
-4.050999999999999913e-03	-5.551701791410407899e-02	-5.148437722028356145e-01
-4.049999999999999781e-03	-5.822613365346157588e-02	-5.558316828077621841e-01
-4.048999999999999648e-03	-6.059660992539939173e-02	-5.744625512645469279e-01
-4.047999999999999515e-03	-6.432164406701595949e-02	-6.266289829435444103e-01
-4.047000000000000250e-03	-6.872395714347187545e-02	-6.676168935484709799e-01
-4.046000000000000117e-03	-7.075579394799000332e-02	-6.937001093879697766e-01
-4.044999999999999984e-03	-7.414218862218688311e-02	-7.235094989188254333e-01
-4.043999999999999852e-03	-7.651266489412469896e-02	-7.570450621410380609e-01
-4.042999999999999719e-03	-8.125361743800033065e-02	-8.092114938200355434e-01
-4.041999999999999586e-03	-8.396273317735780672e-02	-8.241161885854634273e-01
-4.040999999999999454e-03	-8.667184891671531055e-02	-8.688302728817469678e-01
-4.040000000000000188e-03	-9.005824359091219034e-02	-9.023658361039595954e-01
-4.039000000000000055e-03	-9.107416199317125427e-02	-9.433537467088861650e-01
-4.037999999999999923e-03	-9.378327773252875810e-02	-9.731631362397419327e-01
-4.036999999999999790e-03	-9.683103293930594990e-02	-1.002972525770597478e+00
-4.035999999999999657e-03	-1.049583801573784336e-01	-1.043960436375523937e+00
-4.034999999999999525e-03	-1.025879038854406178e-01	-1.070043652215022956e+00
-4.033999999999999392e-03	-1.083447748315753134e-01	-1.118483910202663356e+00
-4.033000000000000126e-03	-1.086834142989950014e-01	-1.140840952350805182e+00
-4.031999999999999994e-03	-1.127470879080312571e-01	-1.159471820807589815e+00
-4.030999999999999861e-03	-1.168107615170674851e-01	-1.211638252486587408e+00
-4.029999999999999728e-03	-1.188425983215856130e-01	-1.241447642017443176e+00
-4.028999999999999596e-03	-1.235835508654612447e-01	-1.267530857856941751e+00
-4.027999999999999463e-03	-1.266313060722384365e-01	-1.308518768461868653e+00
-4.027000000000000197e-03	-1.290017823441762523e-01	-1.334601984301367228e+00
-4.026000000000000065e-03	-1.293404218115959403e-01	-1.371863721214936938e+00
-4.024999999999999932e-03	-1.367904900948290481e-01	-1.390494589671721570e+00
-4.023999999999999799e-03	-1.401768847690259279e-01	-1.438934847659361971e+00
-4.022999999999999667e-03	-1.408541637038653038e-01	-1.491101279338359564e+00
-4.021999999999999534e-03	-1.455951162477409355e-01	-1.524636842560572081e+00
-4.020999999999999401e-03	-1.472883135848393754e-01	-1.550720058400071100e+00
-4.020000000000000136e-03	-1.527065450635543553e-01	-1.591707969004997558e+00
-4.019000000000000003e-03	-1.493201503893575033e-01	-1.602886490079068249e+00
-4.017999999999999870e-03	-1.588020554771087389e-01	-1.651326748066709094e+00
-4.016999999999999738e-03	-1.591406949445284269e-01	-1.688588484980278359e+00
-4.015999999999999605e-03	-1.635430080209843706e-01	-1.714671700819777378e+00
-4.014999999999999472e-03	-1.662521237603418467e-01	-1.748207264041989895e+00
-4.014000000000000207e-03	-1.689612394996993505e-01	-1.778016653572845662e+00
-4.013000000000000074e-03	-1.743794709784143582e-01	-1.819004564177772121e+00
-4.011999999999999941e-03	-1.757340288480931101e-01	-1.859992474782698579e+00
-4.010999999999999809e-03	-1.760726683155127981e-01	-1.863718648474055772e+00
-4.009999999999999676e-03	-1.821681787290671539e-01	-1.904706559078982231e+00
-4.008999999999999543e-03	-1.831840971313262179e-01	-1.923337427535767308e+00
-4.007999999999999410e-03	-1.869091312729427856e-01	-1.997860901362906283e+00
-4.007000000000000145e-03	-1.882636891426215375e-01	-2.027670290893762051e+00
-4.006000000000000012e-03	-1.919887232842381053e-01	-2.023944117202405302e+00
-4.004999999999999880e-03	-1.930046416864971692e-01	-2.061205854115975011e+00
-4.003999999999999747e-03	-1.974069547629530852e-01	-2.124550806869043296e+00
-4.002999999999999614e-03	-2.018092678394090289e-01	-2.154360196399899063e+00
-4.001999999999999481e-03	-2.038411046439271568e-01	-2.187895759622111580e+00
-4.001000000000000216e-03	-2.075661387855437245e-01	-2.213978975461610155e+00
-4.000000000000000083e-03	-2.062115809158649726e-01	-2.243788364992465922e+00
-3.998999999999999951e-03	-2.092593361226421644e-01	-2.262419233449250999e+00
-3.997999999999999818e-03	-2.140002886665177684e-01	-2.307133317745534207e+00
-3.996999999999999685e-03	-2.228049148194296558e-01	-2.325764186202319284e+00
-3.995999999999999552e-03	-2.200957990800721520e-01	-2.366752096807245742e+00
-3.994999999999999420e-03	-2.211117174823312159e-01	-2.407740007412172201e+00
-3.994000000000000154e-03	-2.278845068307249755e-01	-2.430097049560314026e+00
-3.993000000000000022e-03	-2.312709015049218275e-01	-2.456180265399812601e+00
-3.991999999999999889e-03	-2.295777041678233876e-01	-2.504620523387453446e+00
-3.990999999999999756e-03	-2.333027383094399554e-01	-2.530703739226952020e+00
-3.989999999999999623e-03	-2.407528065926730909e-01	-2.553060781375093846e+00
-3.988999999999999491e-03	-2.377050513858958991e-01	-2.567965476140521730e+00
-3.988000000000000225e-03	-2.417687249949321548e-01	-2.616405734128162131e+00
-3.987000000000000093e-03	-2.438005617994502827e-01	-2.653667471041731840e+00
-3.985999999999999960e-03	-2.505733511478440145e-01	-2.676024513189873666e+00
-3.984999999999999827e-03	-2.485415143433258867e-01	-2.694655381646658299e+00
-3.983999999999999694e-03	-2.519279090175227664e-01	-2.728190944868870815e+00
-3.982999999999999562e-03	-2.597166167681755899e-01	-2.769178855473797718e+00
-3.981999999999999429e-03	-2.617484535726937178e-01	-2.802714418696010235e+00
-3.981000000000000164e-03	-2.627643719749527818e-01	-2.847428502992293886e+00
-3.980000000000000031e-03	-2.624257325075330938e-01	-2.843702329300936693e+00
-3.978999999999999898e-03	-2.708917191930252377e-01	-2.877237892523149654e+00
-3.977999999999999765e-03	-2.742781138672221175e-01	-2.892142587288577538e+00
-3.976999999999999633e-03	-2.719076375952843017e-01	-2.955487540041645822e+00
-3.975999999999999500e-03	-2.756326717369008694e-01	-2.966666061115716513e+00
-3.975000000000000235e-03	-2.827441005527143170e-01	-2.996475450646572281e+00
-3.974000000000000102e-03	-2.840986584223930689e-01	-3.033737187560141990e+00
-3.972999999999999969e-03	-2.824054610852946290e-01	-3.059820403399640565e+00
-3.971999999999999836e-03	-2.871464136291702607e-01	-3.085903619239139140e+00
-3.970999999999999704e-03	-2.925646451078852683e-01	-3.108260661387280965e+00
-3.969999999999999571e-03	-2.898555293685277645e-01	-3.149248571992207868e+00
-3.968999999999999438e-03	-2.939192029775640203e-01	-3.175331787831706443e+00
-3.968000000000000173e-03	-2.942578424449837082e-01	-3.205141177362562210e+00
-3.967000000000000040e-03	-3.003533528585380363e-01	-3.227498219510704036e+00
-3.965999999999999907e-03	-3.017079107282167882e-01	-3.268486130115630495e+00
-3.964999999999999775e-03	-3.013692712607971003e-01	-3.272212303806987244e+00
-3.963999999999999642e-03	-3.081420606091908598e-01	-3.309474040720556953e+00
-3.962999999999999509e-03	-3.071261422069317959e-01	-3.346735777634126663e+00
-3.962000000000000244e-03	-3.128830131530664915e-01	-3.380271340856339179e+00
-3.961000000000000111e-03	-3.138989315553255555e-01	-3.406354556695838198e+00
-3.959999999999999978e-03	-3.176239656969421232e-01	-3.417533077769908889e+00
-3.958999999999999846e-03	-3.189785235666208751e-01	-3.451068640992121406e+00
-3.957999999999999713e-03	-3.227035577082374429e-01	-3.473425683140263232e+00
-3.956999999999999580e-03	-3.233808366430768189e-01	-3.514413593745190134e+00
-3.955999999999999447e-03	-3.277831497195327626e-01	-3.514413593745190134e+00
-3.955000000000000182e-03	-3.277831497195327626e-01	-3.559127678041473342e+00
-3.954000000000000049e-03	-3.291377075892115145e-01	-3.592663241263686302e+00
-3.952999999999999917e-03	-3.311695443937296424e-01	-3.626198804485898819e+00
-3.951999999999999784e-03	-3.345559390679264666e-01	-3.626198804485898819e+00
-3.950999999999999651e-03	-3.376036942747036584e-01	-3.656008194016754587e+00
-3.949999999999999518e-03	-3.376036942747036584e-01	-3.693269930930324296e+00
-3.949000000000000253e-03	-3.426832862859989781e-01	-3.719353146769822871e+00
-3.948000000000000120e-03	-3.403128100140611623e-01	-3.741710188917964697e+00
-3.946999999999999988e-03	-3.477628782972942978e-01	-3.760341057374749330e+00
-3.945999999999999855e-03	-3.508106335040714896e-01	-3.797602794288319039e+00
-3.944999999999999722e-03	-3.497947151018124257e-01	-3.819959836436460865e+00
-3.943999999999999589e-03	-3.548743071131077453e-01	-3.849769225967316633e+00
-3.942999999999999457e-03	-3.575834228524652492e-01	-3.890757136572243091e+00
-3.942000000000000191e-03	-3.582607017873046251e-01	-3.913114178720384917e+00
-3.941000000000000059e-03	-3.596152596569833770e-01	-3.913114178720384917e+00
-3.939999999999999926e-03	-3.606311780592424410e-01	-3.954102089325311375e+00
-3.938999999999999793e-03	-3.667266884727967691e-01	-3.976459131473453201e+00
-3.937999999999999660e-03	-3.690971647447345849e-01	-3.991363826238881085e+00
-3.936999999999999528e-03	-3.684198858098952090e-01	-4.017447042078379660e+00
-3.935999999999999395e-03	-3.711290015492527128e-01	-4.062161126374663311e+00
-3.935000000000000130e-03	-3.741767567560299046e-01	-4.054708778991948925e+00
-3.933999999999999997e-03	-3.758699540931283445e-01	-4.080791994831447944e+00
-3.932999999999999864e-03	-3.755313146257086565e-01	-4.114327558053660461e+00
-3.931999999999999731e-03	-3.823041039741024161e-01	-4.132958426510445094e+00
-3.930999999999999599e-03	-3.826427434415221041e-01	-4.173946337115371996e+00
-3.929999999999999466e-03	-3.850132197134599199e-01	-4.181398684498085494e+00
-3.929000000000000201e-03	-3.867064170505583598e-01	-4.203755726646227764e+00
-3.928000000000000068e-03	-3.880609749202371117e-01	-4.237291289868440280e+00
-3.926999999999999935e-03	-3.904314511921749276e-01	-4.263374505707939299e+00
-3.925999999999999802e-03	-3.934792063989521194e-01	-4.285731547856080681e+00
-3.924999999999999670e-03	-3.958496826708898797e-01	-4.293183895238794179e+00
-3.923999999999999537e-03	-3.965269616057292557e-01	-4.319267111078293198e+00
-3.922999999999999404e-03	-3.972042405405686316e-01	-4.319267111078293198e+00
-3.922000000000000139e-03	-4.012679141496048874e-01	-4.337897979535077830e+00
-3.921000000000000006e-03	-4.019451930844442633e-01	-4.326719458461007584e+00
-3.919999999999999873e-03	-4.043156693563820792e-01	-4.319267111078293198e+00
-3.918999999999999741e-03	-4.056702272260608311e-01	-4.337897979535077830e+00
-3.917999999999999608e-03	-4.063475061609002070e-01	-4.337897979535077830e+00
-3.916999999999999475e-03	-4.107498192373561507e-01	-4.330445632152364333e+00
-3.916000000000000210e-03	-4.080407034979986469e-01	-4.360255021683220100e+00
-3.915000000000000077e-03	-4.100725403025167748e-01	-4.349076500609148965e+00
-3.913999999999999944e-03	-4.137975744441333426e-01	-4.341624153226435467e+00
-3.912999999999999812e-03	-4.148134928463924065e-01	-4.330445632152364333e+00
-3.911999999999999679e-03	-4.188771664554286622e-01	-4.330445632152364333e+00
-3.910999999999999546e-03	-4.198930848576877262e-01	-4.349076500609148965e+00
-3.909999999999999414e-03	-4.212476427273664781e-01	-4.334171805843721081e+00
-3.909000000000000148e-03	-4.222635611296255420e-01	-4.352802674300505714e+00
-3.908000000000000015e-03	-4.256499558038224218e-01	-4.337897979535077830e+00
-3.906999999999999883e-03	-4.232794795318846059e-01	-4.345350326917792216e+00
-3.905999999999999750e-03	-4.286977110105995581e-01	-4.334171805843721081e+00
-3.904999999999999617e-03	-4.317454662173767499e-01	-4.337897979535077830e+00
-3.903999999999999918e-03	-4.341159424893145657e-01	-4.322993284769649946e+00
-3.902999999999999785e-03	-4.341159424893145657e-01	-4.341624153226435467e+00
-3.901999999999999653e-03	-4.341159424893145657e-01	-4.334171805843721081e+00
-3.900999999999999954e-03	-4.378409766309311335e-01	-4.341624153226435467e+00
-3.899999999999999821e-03	-4.381796160983508215e-01	-4.319267111078293198e+00
-3.898999999999999688e-03	-4.391955345006098854e-01	-4.322993284769649946e+00
-3.897999999999999989e-03	-4.398728134354492614e-01	-4.330445632152364333e+00
-3.896999999999999856e-03	-4.442751265119052051e-01	-4.349076500609148965e+00
-3.895999999999999724e-03	-4.432592081096461412e-01	-4.330445632152364333e+00
-3.895000000000000025e-03	-4.442751265119052051e-01	-4.322993284769649946e+00
-3.893999999999999892e-03	-4.466456027838430209e-01	-4.330445632152364333e+00
